feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,category_1,category_2,target
0.59122779787785,0.6038515097198207,0.4167299035364239,0.5747914747454766,0.8924870492626944,0.2765001863397006,0.2702482131074474,0.2947413011809611,0,2,1
0.4745530990401287,0.49451153191461605,0.5007154856805621,0.5363855378510956,0.852358339985062,0.24730549187860867,0.263418257769604,0.32192335084843576,1,0,0
0.6189687248197351,0.6263470629730614,0.40187765177405993,0.6531054055336962,0.3749360012312659,0.6971306935128541,0.7050087420498615,0.6342015797566756,2,2,1
0.7798091187173586,0.7405814923624787,0.18378971159749297,0.7372820491358534,0.9411350383192894,0.8475205428496714,0.8674846391929271,0.8068838987704928,2,1,1
0.4569338731273421,0.4549195348840035,0.5740612390083412,0.4607413067288441,0.8053147879944723,0.5209463492482419,0.6605822232590484,0.461560396625976,1,2,0
0.4569368898678212,0.436820015735138,0.5346037509764834,0.4373777687529592,0.8511623727731327,0.4660354110285225,0.5764699492403713,0.42302167925392575,1,0,0
0.7901325082694264,0.7822365060188547,0.1293835818298989,0.7966627085222381,0.9323868497175603,0.7061199029605975,0.7645939415895722,0.6585153420523963,2,0,1
0.6409715985926604,0.656728430502981,0.3142904426890569,0.6265137827527424,0.9370350075130875,0.5677284993841072,0.6391390414404996,0.6329580811515427,2,0,1
0.4136945979745303,0.4206678613197704,0.5739315565693069,0.45257579029841105,0.23999571342663095,0.4992809313385922,0.0,0.06476241265499255,1,0,0
0.5996517931987557,0.6190740356916815,0.448223646801044,0.6305486494360788,0.12760185500348886,0.700269574872368,0.5726306465738016,0.7978532610480925,2,2,1
0.41480749058887956,0.422426379238336,0.6240855081749134,0.4140308582563978,0.6908723133749712,0.22961031411016752,0.31894835314017667,0.2988993041608501,1,1,0
0.41438265881833664,0.39232689146770716,0.6523861757574678,0.37622513700299565,0.5631924608468412,0.49723081910676975,0.48813495499091636,0.5403183695410015,1,1,0
0.5444181796824931,0.49827588550165364,0.5007154856805621,0.5285510993239111,0.32737016556986903,0.4104396852866996,0.41454244784042327,0.3683562072872183,0,1,0
0.14840116523238184,0.15654817634557855,0.8481472397842489,0.15515435967615826,0.6844459273346623,0.3702169259236307,0.4714792042152695,0.37486918236904454,3,1,0
0.18301198951154202,0.18407220457985257,0.8251935256734111,0.1627431795704724,0.061901312821327936,0.5090767617387904,0.4195377154115921,0.4546581864461706,3,1,0
0.3966405618265457,0.3806686357262381,0.592555150366908,0.3683910539596051,0.04711056639240324,0.6800655555090109,0.5515776577151437,0.6458726066372158,3,1,1
0.3138550161721251,0.2860355720493322,0.6693499247296558,0.3161096400928863,0.35425821695423343,0.5059230265744986,0.43030954672656124,0.48291126065907075,3,0,0
0.5577002645619294,0.5436812612468069,0.3685138164278511,0.48570310878951706,0.1937705433572896,0.784325569325186,0.7336342477908795,0.75158507700945,0,2,0
0.33311288266781536,0.33225988482388114,0.6744655363040907,0.32156723532572884,0.7185575110428803,0.8093887633716603,0.8426411010128319,0.8133844383941154,3,0,0
0.24045356012507912,0.25656912408649774,0.7226656074727132,0.29775896904976573,0.9480572086149447,0.807544981437915,0.9561886879009726,0.762454789316878,3,1,0
0.7692655782199891,0.7687647882315174,0.21628442817641302,0.7598911056412492,0.6616204612236788,0.48831936837383566,0.5249483425834084,0.5260426968806662,2,1,1
0.4584731264620167,0.488350016310549,0.625103800668255,0.4983962691216011,0.6547764034696593,0.40302177894938956,0.43569278626860075,0.344842946846426,1,0,1
0.5123666319393252,0.49358690855918214,0.4674031947637004,0.5327059259953625,0.006491821708854373,0.492792531945956,0.4296734453106754,0.5121468169068787,0,0,0
0.23816693680673018,0.25821120740327497,0.7821192883608468,0.29300302330922906,0.5122479484639972,0.7268562189357087,0.6807378834969211,0.6821623229091733,3,1,0
0.39993049647123907,0.4024450177346102,0.6399005117568359,0.3879380012490881,0.81711734339875,0.7147475709373743,0.6922002655490728,0.7025240821785301,3,0,0
0.5203401730401751,0.5327534583542719,0.4894749233191732,0.5278723484280056,0.654112303844623,0.0,0.07570677528718217,0.06666628366219668,0,0,1
0.2884682286998771,0.28390891534822515,0.7331297731750004,0.3188584222422945,0.22771131932755423,0.5613639079850731,0.5270672507793884,0.4880589694226569,3,0,0
0.5689915770790416,0.5874936384299498,0.413679023264389,0.6202908267958244,0.8484959082856727,0.02137831896261344,0.17209925077156035,0.13531158745171118,0,0,1
0.38959369254843956,0.39675098892074845,0.6068603738158643,0.39490601437432427,0.9644145115127704,0.49574690771212326,0.5982173327079496,0.48571192485735637,3,0,0
0.44636106411021204,0.4350228542258654,0.5192595335231681,0.43398486956403914,0.2789293501245217,0.392765599246531,0.4220024763949015,0.48642942623653607,1,0,0
0.3893974662403699,0.390997340805837,0.6486116601603187,0.40194839850297664,0.20702021958307482,0.33058202367641354,0.32723677550892327,0.34946991794307214,3,2,1
0.8403071551261624,0.8309853490951175,0.07597295200367382,0.8763577633716932,0.3384722049683534,0.6711046636509965,0.6314630860360143,0.7117211756048639,2,2,1
0.49747853993573915,0.5065179596544316,0.5400767829378067,0.5448051238190886,0.06306289095204698,0.36887850071280504,0.24166985214428993,0.3833306028967283,1,1,1
0.30560853447501624,0.287339528381269,0.6497786471721214,0.31468549533459855,0.8734570209523163,0.497678276142147,0.5736302414213755,0.5083286407799815,3,0,0
0.6510978697502274,0.648435254648007,0.37863553203424827,0.6083219359275951,0.9293320843561221,0.31130632338955944,0.4004456126545446,0.33421871485202576,2,1,1
0.27563356292542573,0.286321676539826,0.7216807707353416,0.279026463585088,0.6332919014948433,0.5144858511260157,0.4746178120802003,0.5013573923292012,3,0,0
